,ID,shoe_height,EC_Code,use_RF,Date,Day,Time,scores_differ_but_one,score_differs,Temp_True,SOQ1,SOQ2,SOQ3,SOQ4,SOQ5,SOQ6,SOQ7,SOQ8,Shoe_comfort,Intoxicated,Drinks,Weather,Temp_Think,Cold,Age,Race,Sex_Orient,Heightfeet,Heightinches,Weight,Openshoes,Barelegs,Arms,Shoulders,Cleavage,Openback,Midriff,No_jacket,Jean_rips,Judged_shoe_comfort,Clothes_RF,HG_shoes,SOQ1_R,SOQ2_R,SOQ3_R,SOQ4_R,SOQ7_R,SOQ8_R,Self_Obj,height.just.inches,BMI,filter_$,use_RF_coded,test_1,combined_filter,full_SO,Zshoe_height,white
42,33,1,0,1,1052856:00:00,2,11:35:00.000000,1,1,56,2,5,3,6,2,2,2,2,6,6,8,1,60,6,21,1,3,5,3,116,0,0,1,1,1,1,1,1,1,3,7,3,5,2,4,1,5,5,3.25,63,20.5462333081381,1,NA,NA,1,3.25,-0.632686650452512,1
43,36,1,1,1,1052856:00:00,2,12:06:00.000000,1,1,56,1,6,1,1,6,6,6,6,2,2,0,1,NA,2,18,5,1,NA,NA,NA,0,1,1,1,1,NA,1,1,0,3,6,3,6,1,6,6,1,1,4.125,NA,NA,NA,NA,NA,1,4.125,NA,0
44,38,1,1,1,1052856:00:00,2,12:20:00.000000,1,1,56,5,3,6,6,2,4,3,3,3,2,1,NA,63,5,20,5,1,5,5,125,0,0,0,0,0,NA,1,1,0,3,2,3,2,4,1,1,4,4,2.75,65,20.7988165680473,1,NA,NA,1,2.75,-0.632686650452512,0
45,113,1,1,1,1052856:00:00,2,10:57:00.000000,1,1,56,3,4,3,2,5,5,2,2,1,1,0,1,60,2,21,5,1,5,5,178,0,0,0,0,0,0,1,1,0,3,2,3,4,3,4,5,5,5,4.5,65,29.6175147928994,1,NA,NA,1,4.5,-0.632686650452512,0
46,114,1,0,0,1052856:00:00,2,11:04:00.000000,0,0,56,1,1,1,1,1,1,1,1,1,1,0,2,60,4,18,2,1,5,2,150,1,1,1,0,1,NA,0,1,0,2,5,3,6,6,6,6,6,6,4.75,62,27.4323621227888,0,1,1,NA,4.75,NA,0
47,116,1,1,1,1052856:00:00,2,11:21:00.000000,1,1,56,3,6,5,5,5,5,NA,6,6,2,5,2,50,4,NA,1,3,5,5,115,0,0,1,0,1,0,1,1,0,3,4,3,4,1,2,2,NA,1,2.85714285714286,65,19.1349112426036,1,NA,NA,1,NA,-0.632686650452512,1
48,117,1,1,1,1052856:00:00,2,11:45:00.000000,1,1,56,2,4,3,4,5,5,3,3,6,3,6,2,60,2,20,1,3,5,8,125,0,0,0,0,1,0,1,0,0,3,2,3,5,3,4,3,4,4,4.125,68,19.0041089965398,1,NA,NA,1,4.125,-0.632686650452512,1
49,118,1,1,1,1052856:00:00,2,11:45:00.000000,1,1,56,2,3,3,2,3,4,5,3,5,4,6,1,66,3,19,5,1,5,6,155,0,0,0,0,1,0,1,1,0,3,3,3,5,4,4,5,2,4,3.875,66,25.0149219467401,1,NA,NA,1,3.875,-0.632686650452512,0
50,119,1,1,1,1052856:00:00,2,11:56:00.000000,1,1,56,1,3,4,3,6,1,6,6,5,3,1,1,60,1,20,5,2,5,7,130,0,1,0,0,1,0,0,0,0,3,2,3,6,4,3,4,1,1,3.25,67,20.3586544887503,1,NA,NA,1,3.25,-0.632686650452512,0
51,120,1,0,0,1052856:00:00,2,12:06:00.000000,1,1,56,6,6,6,1,6,4,6,1,6,1,5,1,65,5,18,1,1,5,8,115,0,0,1,1,0,NA,1,1,0,3,4,3,1,1,1,6,1,6,3.25,68,17.4837802768166,1,1,1,NA,3.25,-0.632686650452512,1
52,143,1,0,0,1052856:00:00,2,12:20:00.000000,0,1,56,1,6,1,1,1,1,1,1,6,1,0,1,56,3,18,1,NA,5,2,115,0,0,0,0,0,0,1,1,1,3,3,3,6,1,6,6,6,6,4.125,62,21.0314776274714,1,1,1,NA,4.125,-0.632686650452512,1
53,145,1,1,1,1052856:00:00,2,12:05:00.000000,1,1,56,1,5,4,1,5,5,2,3,6,1,0,1,65,3,20,1,2,5,7,170,0,0,0,0,0,0,0,0,0,3,0,3,6,2,3,6,5,4,4.5,67,26.6228558699042,1,NA,NA,1,4.5,-0.632686650452512,1
54,146,1,1,1,1052856:00:00,2,11:57:00.000000,1,1,56,1,5,5,5,3,4,6,3,6,2,5,1,59,1,18,1,2,5,5,136,0,0,1,0,0,0,0,0,0,3,1,3,6,2,2,2,1,4,3,65,22.6291124260355,1,NA,NA,1,3,-0.632686650452512,1
55,149,1,1,1,1052856:00:00,2,11:00:00.000000,1,1,56,1,1,1,1,6,6,1,6,6,6,5,1,50,3,NA,2,1,5,2,120,1,1,1,1,0,0,1,1,0,3,6,3,6,6,6,6,6,1,5.375,62,21.945889698231,1,NA,NA,1,5.375,-0.632686650452512,0
